Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8
Mme Anne MARTIN,M,12/05/85,A+,a.martin@hotmail.fr,Pari,France,EUROPE
Mme Karine LEBON,F,,AB+,kl@@cnam.fr,Paris,France,EUROPE
M Robert FORT,M,03/12/90,O+,rl@yahoo.fr,Nice,France,
M Robert DUPONT,X,12/04/87,B-,nn.pn@yahoo.com,P_kin,Chine,
M Simon GENEREUX,M,10-16-1996,,sg@gmail.com,Londres,Royaume-Uni,EUROPE
M Simon GENEREUX,M,12/05/85,O-,3.31301E+12,London,UK,
Mme Katia BON,F,,X,3.31301E+12,Beijing,CHINA,ASI@
M Adem LE BON,M,03/12/90,A+,3.31301E+12,Tunis,TUNISIA,
M Adem LE BON,M,12/04/87,,3.36301E+12,Tunis,,AFRICA
M Robert LEBON,,10-16-1997,B+,3.31301E+12, Paris,,
